单位ID,KEY,文本,单位成本,力量,移动,启用科技,帮助,策略
22,TXT_KEY_UNIT_EXPLORER,探险家,40,4,3,地图学( Cartography ),,"组建<color=255,255,0,255>探险家</color>探索未知地域，相比<color=255,255,0,255>侦察兵</color>移动力更高；探访<color=102,229,255,255>部落村庄</color>时能获得更好的收获。但是他们不能用于攻击。"
23,TXT_KEY_UNIT_MALI_CARAVAN,马里商队,40,4,3,地图学( Cartography ),,"<color=255,255,0,255>贸易大篷车</color>，替代<color=255,255,0,255>Explorer</color>的马里人可以执行贸易任务。"
24,TXT_KEY_UNIT_PORTUGUESE_BANDEIRANTE,葡萄牙探险家,40,8,3,地图学( Cartography ),﯆保证捕获<link='UNIT_SLAVE'>从机</link>,"<color=255,255,0,255>Bandeirante</color>，葡萄牙人取代了<color=255,255,0,255>探险家</color>，拥有四个额外的力量点，可以攻击，可以从战斗中撤退，并保证捕获奴隶。"
25,TXT_KEY_UNIT_SPY,间谍,40,0,2,政治学( Politics ),,"组建<color=255,255,0,255>间谍</color>查探敌方领土。并可实施<color=102,229,255,255>谍报任务</color>。"
26,TXT_KEY_UNIT_TIWANAKU_SISQENO,希斯基诺,40,0,2,祭司制度( Priesthood ),"当驻扎在外国城市时首都每回合﯆+1<color=255,255,0,255>大预言家点</color>",TXT_KEY_UNIT_TIWANAKU_SISQENO_STRATEGY
27,TXT_KEY_UNIT_RELIGIOUS_PERSECUTOR,宗教裁判,80,0,3,宗教教条( Doctrine ),,宗教迫害者可以将非国家宗教从城市中移除。
28,TXT_KEY_UNIT_JEWISH_MISSIONARY,犹太教拉比,40,0,3,,,"使用此传教单位传播<color=102,229,255,255>犹太教</color>到友好城市（或对手的城市，如果双方<color=102,229,255,255>开放边界</color>）。如果拥有<color=204,204,216,255>所罗门圣殿</color>将可增加收入。"
29,TXT_KEY_UNIT_ORTHODOX_MISSIONARY,东正教传教士,40,0,3,,,"<color=255,255,0,255>传教士</color>（<color=255,255,0,255>东正教传教士</color>）可以在友好城市（或与您有</color>开放边界</color>的竞争城市）传播</color>正统观念。"
30,TXT_KEY_UNIT_CATHOLIC_MISSIONARY,天主教传教士,40,0,3,,,"<color=255,255,0,255>传教士</color>（<color=255,255,0,255>天主教传教士</color>）可以在友好城市（或与您有</color>开放边界</color>的竞争城市）传播</color>天主教</color>。"
31,TXT_KEY_UNIT_PROTESTANT_MISSIONARY,新教传教士,40,0,3,,,"<color=255,255,0,255>传教士</color>（<color=255,255,0,255>新教传教士</color>）可以在友好城市（或与您有</color>开放边界</color>的竞争城市）传播</color>新教</color>。"
32,TXT_KEY_UNIT_ISLAMIC_MISSIONARY,穆斯林阿訇,40,0,3,,,"使用此传教单位传播<color=102,229,255,255>伊斯兰教</color>到友好城市（或对手的城市，如果双方<color=102,229,255,255>开放边界</color>）。如果拥有<color=204,204,216,255>克尔白天房</color>将可增加收入。"
33,TXT_KEY_UNIT_HINDU_MISSIONARY,印度教宗师,40,0,3,,,"使用此传教单位传播<color=102,229,255,255>印度教</color>到友好城市（或对手的城市，如果双方<color=102,229,255,255>开放边界</color>）。如果拥有<color=204,204,216,255>印度教黄金殿</color>将可增加收入。"
34,TXT_KEY_UNIT_BUDDHIST_MISSIONARY,佛教僧人,40,0,3,,,"使用此传教单位传播<color=102,229,255,255>佛教</color>到友好城市（或对手的城市，如果双方<color=102,229,255,255>开放边界</color>）。如果拥有<color=204,204,216,255>大菩提寺</color>将可增加收入。"
35,TXT_KEY_UNIT_CONFUCIAN_MISSIONARY,儒士,40,0,3,,,"使用此传教单位传播<color=102,229,255,255>儒学</color>到友好城市（或对手的城市，如果双方<color=102,229,255,255>开放边界</color>）。如果拥有<color=204,204,216,255>孔庙</color>将可增加收入。"
36,TXT_KEY_UNIT_TAOIST_MISSIONARY,道士,40,0,3,,,"使用此传教单位传播<color=102,229,255,255>道教</color>到友好城市（或对手的城市，如果双方<color=102,229,255,255>开放边界</color>）。如果拥有<color=204,204,216,255>岱庙</color>将可增加收入。"
37,TXT_KEY_UNIT_ZOROASTRIAN_MISSIONARY,祆教祭司,40,0,3,,,"<color=255,255,0,255>Magi</color>（<color=255,255,0,255>琐罗亚斯德传教士</color>）可以在友好城市（或与您有</color>开放边界</color>的竞争城市）传播</color>琐罗亚斯德教</color>。"
38,TXT_KEY_UNIT_WARRIOR,勇士,15,2,2,,,"组建这种肉搏单位用于早期的城防，或护卫你的<color=255,255,0,255>移民</color>。组建成本较低但战斗力较弱，不可作为长久之计。"
39,TXT_KEY_UNIT_MILITIA,民兵,15,2,2,,,"<color=255,255,0,255>民兵</color>在城市有防御加成。"
40,TXT_KEY_UNIT_HARAPPA_CITY_GUARD,哈拉帕城市卫兵,15,2,2,,,"<color=255,255,0,255>City Guard</color>，哈拉帕人取代<color=255,255,0,255>民兵</color>，从<color=102,229,255,255>城市卫戍区I</color>开始。"
41,TXT_KEY_UNIT_POLYNESIA_KOA,波利尼西亚民兵,15,2,2,,,"<color=255,255,0,255>Koa</color>是波利尼西亚人对<color=255,255,0,255>民兵</color>的替代品，从<color=102,229,255,255>两栖</color>开始。"
42,TXT_KEY_UNIT_MISSISSIPPI_FALCON_DANCER,篝火舞者,15,3,2,,,TXT_KEY_UNIT_MISSISSIPPI_FALCON_DANCER_STRATEGY
43,TXT_KEY_UNIT_AXEMAN,斧兵,35,5,2,合金( Alloys ),,这种肉搏单位在对付其他肉搏单位时具有特殊战斗优势加成。
44,TXT_KEY_UNIT_LIGHT_SWORDSMAN,轻剑客,35,5,2,合金( Alloys ),,"<color=255,255,0,255>轻剑客</color>是基本的<color=255,255,0,255>近战单位</color>或古典时代。"
45,TXT_KEY_UNIT_SUMERIAN_VULTURE,兀鹫战士,35,4,2,合金( Alloys ),,"此种早期肉搏兵种是苏美尔的特色单位，替代<color=255,255,0,255>斧兵</color>，战斗力相当于<color=255,255,0,255>剑士</color>，并仍拥有针对肉搏单位的战斗加成。"
46,TXT_KEY_UNIT_NATIVE_AMERICAN_DOG_SOLDIER,安第斯战士,35,5,2,合金( Alloys ),,狗兵是一个野蛮人单位，从公元600-1800年在北美中部和安第斯山脉繁殖。
47,TXT_KEY_UNIT_EGYPT_KHOPESH,埃及斧剑兵,35,5,2,合金( Alloys ),,"<color=255,255,0,255>Khopesh</color>是埃及替代<color=255,255,0,255>轻剑客</color>，对<color=255,255,0,255>近战单位</color>有战斗加成。"
48,TXT_KEY_UNIT_SWORDSMAN,剑士,40,6,2,铁器( Bloomery ),,这是强大的早期肉搏单位，适合进攻城市。
49,TXT_KEY_UNIT_AZTEC_JAGUAR,美洲虎战士,35,6,2,合金( Alloys ),,"这是阿兹特克的特色肉搏单位（替代<color=255,255,0,255>剑士</color>），不需要拥有特殊资源，在<color=255,255,0,255>丛林</color>地形具有优势加成。"
50,TXT_KEY_UNIT_ROMAN_LEGION,罗马军团,45,8,2,铁器( Bloomery ),,"<color=255,255,0,255>军团</color>，罗马取代<color=255,255,0,255>剑客</color>，有两个额外的力量点，价格更高，可以建造<color=102,229,255,255>罗马道路</color>。"
51,TXT_KEY_UNIT_CELTIC_GALLIC_WARRIOR,高卢枪佣兵,40,5,2,铁器( Bloomery ),,"高卢战士是凯尔特人特有的强大肉搏单位（替代<color=255,255,0,255>剑士</color>），该单位天然拥有<color=102,229,255,255>游击一级</color>晋升，非常适宜丘陵防御作战。"
52,TXT_KEY_UNIT_INCAN_AUCAC,印加战士,35,5,2,采矿( Mining ),,"<color=255,255,0,255>印加战士</color>是<color=255,255,0,255>剑客</color>的印加替代品，需要<color=127,255,25,255>挖掘</color>技术，不需要<color=127,255,25,255>Bloomery</color>技术，不需要<color=102,229,255,255>铁</color>资源，对<color=102,229,255,255>射箭单位</color>和<color=102,229,255,255>近战单位</color>有战斗奖励，并从<color=102,229,255,255>战斗I</color>升级开始。"
53,TXT_KEY_UNIT_ETHIOPIAN_SHOTELAI,弯刀剑士,40,6,2,铁器( Bloomery ),,"埃塞俄比亚人取代<color=255,255,0,255>剑客</color>的<color=255,255,0,255>Shotelai</color>不需要<color=102,229,255,255>铁</color>资源，而是从<color=102,229,255,255>游击队I</color>提升。"
54,TXT_KEY_UNIT_HEAVY_SWORDSMAN,重剑手,70,8,2,文官制度( Civil_service ),,"<color=255,255,0,255>重剑手</color>攻击城市时有战斗奖励。"
55,TXT_KEY_UNIT_NOVGOROD_USHKUINIK,伏尔加河河盗(Ushkuinik),70,8,2,文官制度( Civil_service ),,TXT_KEY_UNIT_NOVGOROD_USHKUINIK_STRATEGY
56,TXT_KEY_UNIT_VISHAP_INFANTRY,亚美尼亚龙步兵,70,8,2,文官制度( Civil_service ),,TXT_KEY_UNIT_VISHAP_INFANTRY_STRATEGY
57,TXT_KEY_UNIT_JAPANESE_SAMURAI,日本武士,70,8,2,文官制度( Civil_service ),,"<color=255,255,0,255>日本武士</color>，日本人取代<color=255,255,0,255>重剑手</color>，从</color>领导层</color>晋升开始，不能用</color>铜</color>资源建立。"
58,TXT_KEY_UNIT_VIKING_HUSCARL,维京战士,70,8,2,文官制度( Civil_service ),,"<color=255,255,0,255>维京战士<color=255,255,0,255>，海盗取代<color=255,255,0,255>重剑手</color>，以<color=102,229,255,255>两栖</color>开始，攻击城市时有额外的攻击加成。"
59,TXT_KEY_UNIT_ARABIAN_GHAZI,阿拉伯重剑士,70,8,3,文官制度( Civil_service ),,"<color=255,255,0,255>阿拉伯重剑士</color>是<color=255,255,0,255>重剑手</color>的阿拉伯替代品，在攻击城市时有一个额外的移动点和额外的攻击加成。"
60,TXT_KEY_UNIT_CONGOLESE_POMBOS,刚果战士,70,8,2,文官制度( Civil_service ),,"刚果人取代<color=255,255,0,255>重剑手</color>，可以进入<color=102,229,255,255>丛林</color>、<color=102,229,255,255>雨林</color>和<color=102,229,255,255>沼泽</color>，对[COLOR_UNIT_REVERT]火药单位</color>有战斗奖励，并且不需要[COLOR_HIGHT_TEXT]铜</color>或[COLOR_HIGHT_TEXT]铁</color>资源。"
61,TXT_KEY_UNIT_GERMANY_DOPPELSOLDNER,杜普勒剑士,70,8,2,文官制度( Civil_service ),,"<color=255,255,0,255>Doppelsöldner</color>是神圣罗马帝国对<color=255,255,0,255>重型剑客</color>的替代品，首先是<color=102,229,255,255>冲击</color>和<color=102,229,255,255>阵型</color>促销活动。"
62,TXT_KEY_UNIT_TAMIL_KALLARANI,泰米尔重骑兵,70,8,2,文官制度( Civil_service ),,"<color=255,255,0,255>Kallarani</color>是泰米尔人对<color=255,255,0,255>重骑兵</color>的替代品，对<color=255,255,0,255>轻骑兵单位</color>和<color=255,255,0,255>重骑兵单位</color>有战斗加成。"
63,TXT_KEY_UNIT_SPEARMAN,矛兵,30,4,2,金属熔炼( Smelting ),,组建此类早期肉搏单位用于对付大量骑乘单位。
64,TXT_KEY_UNIT_GREEK_HOPLITE,希腊方阵步兵,30,5,2,金属熔炼( Smelting ),,"<color=255,255,0,255>希腊重装步兵</color>是<color=255,255,0,255>枪兵</color>的希腊替代品，它有一个额外的强度点，从<color=102,229,255,255>封面</color>和<color=102,229,255,255>休克</color>提升。"
65,TXT_KEY_UNIT_PHOENICIAN_SACRED_BAND,腓尼基矛兵,30,4,2,金属熔炼( Smelting ),,"<color=255,255,0,255>圣带</color>，腓尼基人取代<color=255,255,0,255>矛兵</color>，在攻防城市时有战斗奖励，并从[COLOR戋u HIGHLIGHT戋TEXT]两栖</color>升级开始。"
66,TXT_KEY_UNIT_PERSIAN_IMMORTAL,波斯长矛兵,20,4,2,金属熔炼( Smelting ),,"<color=255,255,0,255>波斯长矛兵</color>，波斯人取代了<color=255,255,0,255>长矛人</color>，对<color=255,255,0,255>弓箭手</color>有攻击加成，价格更便宜，并且从<color=102,229,255,255>三月</color>提升。"
67,TXT_KEY_UNIT_AZTEC_EAGLE,阿兹特克雄鹰战士,30,4,2,金属熔炼( Smelting ),,"<color=255,255,0,255>阿兹特克雄鹰战士</color>是阿兹特克替代<color=255,255,0,255>Spearman</color>，不需要任何资源，可以进入<color=102,229,255,255>雨林</color>和<color=102,229,255,255>丛林</color>，并具有第一次攻击。"
68,TXT_KEY_UNIT_MAYAN_BLOWGUNNER,玛雅吹箭手,30,4,2,金属熔炼( Smelting ),,"<color=255,255,0,255>Blowgunner</color>是玛雅人对<color=255,255,0,255>游击兵</color>的替代品，能够进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>，在最近的城市赢得战斗时为其提供食物，并有更高的机会退出战斗。"
69,TXT_KEY_UNIT_ZULU_IMPI,祖鲁矛兵,30,4,3,金属熔炼( Smelting ),,"祖鲁矛兵是祖鲁人特有的强大肉搏单位（替代<color=255,255,0,255>矛兵</color>），该单位天然拥有<color=102,229,255,255>机动能力</color>晋升，非常适宜对抗骑乘单位。"
70,TXT_KEY_UNIT_HEAVY_SPEARMAN,重矛兵,60,6,2,炼钢( Steel ),,"<color=255,255,0,255>重矛人</color>对<color=255,255,0,255>重骑兵</color>有战斗加成。"
71,TXT_KEY_UNIT_SCOTLAND_SHELTRON,苏格兰盾阵,60,6,2,炼钢( Steel ),,TXT_KEY_UNIT_SCOTLAND_SHELTRON_STRATEGY
72,TXT_KEY_UNIT_BURMA_KYUNDAW,缅甸重矛兵,50,6,2,炼钢( Steel ),,"<color=255,255,0,255>缅甸重矛兵</color>是缅甸替代<color=255,255,0,255>重矛兵</color>的替代品，更便宜，可以进入<color=102,229,255,255>丛林</color>，<color=102,229,255,255>雨林</color>，和<color=102,229,255,255>沼泽地</color>，从<color=102,229,255,255>掠夺 I</color>提升开始，并在<color=102,229,255,255>雨林</color>中获得攻击加成。"
73,TXT_KEY_UNIT_INDONESIA_BAMBOO_RUNCING,竹枪兵,60,6,2,炼钢( Steel ),,"<color=255,255,0,255>Bamboo Runcing</color>是印尼替代<color=255,255,0,255>Heavy Spearman</color>，可以进入<color=102,229,255,255>雨林</color>和<color=102,229,255,255>丛林</color>，第一次出击，从<color=102,229,255,255>Drill I</color>开始。"
74,TXT_KEY_UNIT_KHMER_PHAKAK,高棉矛兵,60,6,2,炼钢( Steel ),,"<color=255,255,0,255>Phak'ak</color>是高棉人<color=255,255,0,255>重型矛兵</color>的替代品，可以进入<color=102,229,255,255>雨林</color>和<color=102,229,255,255>丛林</color>，并从<color=102,229,255,255>Woodsman I</color>开始。"
75,TXT_KEY_UNIT_KIEVAN_RUS_DRUZHINA,基辅罗斯重矛兵,60,6,2,炼钢( Steel ),,TXT_KEY_UNIT_KIEVAN_RUS_DRUZHINA_STRATEGY
76,TXT_KEY_UNIT_PIKEMAN,长枪兵,80,8,2,公司制( Companies ),,此种肉搏单位对骑乘单位具有特殊优势加成。
77,TXT_KEY_UNIT_HOLY_ROMAN_LANDSKNECHT,自由佣兵,80,8,2,公司制( Companies ),,"此种强力肉搏兵种是神圣罗马的特色单位，替代<color=255,255,0,255>长枪兵</color>，对骑乘单位和肉搏单位均有战斗加成。"
78,TXT_KEY_UNIT_BYZANTIUM_TAGMATA,皇家禁卫军,80,8,2,公司制( Companies ),,"<color=255,255,0,255>Tagmata</color>是拜占庭人<color=255,255,0,255>长矛</color>的替代品，在防御城市时会获得奖励。"
79,TXT_KEY_UNIT_JAPAN_ASHIGARU,足轻,80,8,2,公司制( Companies ),,"<color=255,255,0,255>Ashigaru</color>是日本取代<color=255,255,0,255>长矛</color>的产品，首先是<color=102,229,255,255>领导层</color>的提升。"
80,TXT_KEY_UNIT_TIBET_DOB_DOB,吐蕃僧兵,80,8,2,公司制( Companies ),,"<color=255,255,0,255>Dob Dob</color>是藏语对<color=255,255,0,255>长矛</color>的替代品，从<color=102,229,255,255>Medic I</color>开始。"
81,TXT_KEY_UNIT_ZIMBABWE_ROZWI_WARRIOR,罗兹维矛兵,80,8,2,公司制( Companies ),,"<color=255,255,0,255>罗兹维矛兵</color>是津巴布韦替代<color=255,255,0,255>长矛</color>的产品，能够进入<color=102,229,255,255>丛林</color>，<color=102,229,255,255>雨林</color>和<color=102,229,255,255>Marsh</color>，对<color=255,255,0,255>火药单位</color>有战斗加成，并且不需要<color=102,229,255,255>铁</color>资源。"
82,TXT_KEY_UNIT_ARQUEBUSIER,火绳枪兵,70,10,2,热兵器军队( Firearms ),,葡萄牙火绳枪兵是第一个可用的火药单位。
83,TXT_KEY_UNIT_CHINESE_FIRELANCER,神机营,70,10,2,火药( Gunpowder ),,"<color=255,255,0,255>火枪手</color>，中国人取代<color=255,255,0,255>火枪手</color>，需要[COLOR U TECH U TEXT]火药</color>而不是[COLOR U TECH U TEXT]枪械</color>，力量点减少一点，造成附带伤害。"
84,TXT_KEY_UNIT_SPANISH_TERCIO,西班牙火枪手,70,10,2,热兵器军队( Firearms ),,"<color=255,255,0,255>西班牙大方阵</color>是<color=255,255,0,255>Arquebusier</color>的西班牙语替代品，它以<color=102,229,255,255>夹点</color>和<color=102,229,255,255>形成</color>提升。"
85,TXT_KEY_UNIT_RUSSIAN_STRELETS,射击军,70,10,3,热兵器军队( Firearms ),,"<color=255,255,0,255>俄国射击军</color>，俄国人取代<color=255,255,0,255>Arquebusier</color>，有一个额外的移动点，以<color=102,229,255,255>城市卫戍I</color>提升。"
86,TXT_KEY_UNIT_OTTOMAN_JANISSARY,苏丹亲兵,70,10,2,热兵器军队( Firearms ),,"苏丹亲兵是奥斯曼人特有的早期火器单位（替代<color=255,255,0,255>火枪手</color>），该单位非常适宜对抗肉搏、投射类以及骑乘类单位。"
87,TXT_KEY_UNIT_OROMO_WARRIOR,奥罗莫火枪手,70,10,2,热兵器军队( Firearms ),,奥罗莫火枪手是公元1500年至1700年在非洲繁殖的野蛮人。
88,TXT_KEY_UNIT_IRANIAN_QIZILBASH,伊朗火枪兵,70,10,2,热兵器军队( Firearms ),,"伊朗的<color=255,255,0,255> 齐齐尔巴什 </color>，是<color=255,255,0,255> 火绳枪兵 </color>的伊朗人替代品。"
89,TXT_KEY_UNIT_IROQUOIS_MOHAWK,北美火枪手,70,10,2,热兵器军队( Firearms ),,莫霍克是一个野蛮人单位，公元1500年至1850年在北美西部繁殖。
90,TXT_KEY_UNIT_PORTUGAL_BANDEIRANTES,班代兰特征服者,70,10,3,热兵器军队( Firearms ),,"<color=255,255,0,255>Bandeirantes</color>是葡萄牙语替代<color=255,255,0,255>Arquebusier</color>的速度更快，忽略了地形移动成本，可以进入<color=102,229,255,255>雨林</color>，<color=102,229,255,255>丛林</color>和<color=102,229,255,255>沼泽</color>只从部落村庄获得正加值。"
91,TXT_KEY_UNIT_MUSKETEER,火枪手,90,12,2,可更换部件( Replaceable_parts ),,"<color=255,255,0,255>火枪手</color>不需要特殊资源。"
92,TXT_KEY_UNIT_ENGLISH_REDCOAT,皇家来复枪兵,90,12,2,可更换部件( Replaceable_parts ),,"这种强大的火器近战部队（英国用以取代<color=255,255,0,255>来复枪兵</color>）在攻击骑乘单位及其他火器部队时可以得到一定加成。"
93,TXT_KEY_UNIT_GERMAN_FUSILIER,燧发枪兵,90,12,2,可更换部件( Replaceable_parts ),,"<color=255,255,0,255>燧发枪兵</color>，普鲁士取代<color=255,255,0,255>火枪手</color>，以<color=102,229,255,255>钻一</color>和<color=102,229,255,255>钻二</color>提升。"
94,TXT_KEY_UNIT_SWEDEN_KAROLIN,卡罗林枪手,100,12,2,可更换部件( Replaceable_parts ),,"<color=255,255,0,255>卡罗林枪手</color>是瑞典人对<color=255,255,0,255>滑膛枪手</color>的替代品，免费获得<color=102,229,255,255>钻取I</color>和<color=102,229,255,255>沼泽活动</color>升级活动。"
95,TXT_KEY_UNIT_AMERICAN_MINUTEMAN,一分钟人,75,12,2,可更换部件( Replaceable_parts ),,一分钟人是美国文明的特色单位，替代来复枪兵。只需花费等同于火枪手的产能即可生产他们。
96,TXT_KEY_UNIT_CHAD_IRON_HELMET,铁盔,90,12,2,可更换部件( Replaceable_parts ),+2经验 对于每个有相同的国家宗教信仰，更强大的军队，友好或更好的关系的文明,TXT_KEY_UNIT_CHAD_IRON_HELMET_STRATEGY
97,TXT_KEY_UNIT_RIFLEMAN,来复枪兵,120,16,2,弹道学( Ballistics ),,"训练这种中等战力的火器部队可以有效地对抗<color=255,255,0,255>近代骑兵</color>等骑乘单位。"
98,TXT_KEY_UNIT_ETHIOPIAN_MEHAL_SEFARI,埃塞尔比亚步枪手,120,16,2,弹道学( Ballistics ),,"<color=255,255,0,255>Mehal Sefari</color>，埃塞俄比亚取代<color=255,255,0,255>步枪兵</color>，从<color=102,229,255,255>Drill I</color>和<color=102,229,255,255>Drill II</color>提升。"
99,TXT_KEY_UNIT_THAI_MAHARDLEK,泰国步兵,120,16,2,弹道学( Ballistics ),,"<color=255,255,0,255>Mahardlek</color>是泰国替代<color=255,255,0,255>步枪兵</color>的泰语版本，从<color=102,229,255,255>Woodsman I</color>开始。"
100,TXT_KEY_UNIT_GRENADIER,掷弹兵,100,10,2,化学( Chemistry ),,"训练这种中等战力的火器部队可以有效地对抗拥有大量<color=255,255,0,255>来复枪兵</color>的部队。"
101,TXT_KEY_UNIT_TAMIL_ROCKETEER,泰米尔火弹兵,100,12,2,化学( Chemistry ),,"<color=255,255,0,255>火箭兵</color>，泰米尔人代替<color=255,255,0,255>掷弹兵</color>，有两个额外的力量点，并对另外两个单位造成附带伤害。"
102,TXT_KEY_UNIT_HOLY_ROMAN_GRENZER,奥地利边防军,80,8,2,地理学( Geography ),,"<color=255,255,0,255>奥地利边防军</color>，神圣罗马取代<color=255,255,0,255>掷弹机</color>，需要<color=127,255,25,255>地理</color>，而不是<color=127,255,25,255>化学</color>，从<color=102,229,255,255>游击队I</color>和<color=102,229,255,255>脱离I</color>提升。"
103,TXT_KEY_UNIT_COLOMBIAN_ALBION_LEGION,不列颠志愿兵,100,12,3,化学( Chemistry ),,作为掷弹兵的替代兵种，移动力和攻城能力更强。
104,TXT_KEY_UNIT_DUTCH_GARDIST,荷兰掷弹兵,100,10,2,化学( Chemistry ),,"<color=255,255,0,255>加德斯特</color>，荷兰替代<color=255,255,0,255>掷弹兵</color>，对<color=255,255,0,255>火药单位</color>有战斗加成。"
105,TXT_KEY_UNIT_IRAN_NAFFATUN,拿法掷弹兵,100,10,2,化学( Chemistry ),,"<color=255,255,0,255>那法掷油兵</color>，伊朗替代<color=255,255,0,255>榴弹兵</color>造成更多的附带伤害。"
106,TXT_KEY_UNIT_AT_INFANTRY,反坦克步兵,120,14,2,火箭( Rocketry ),,"此种后期火器单位组建成本低廉，专用于克制装甲单位，并天然拥有<color=102,229,255,255>伏击能力</color>晋升。"
107,TXT_KEY_UNIT_INFANTRY,现代步兵,140,20,2,社会服务( Social_services ),,这种部队是第一种现代军事单位，可以对抗大量火器部队。
